"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","Невалидная сумма (-1) возвращает ошибку","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","113","Баланс недоступен без токена","","2026-06-07","passed","2026-06-07","2. Проверка баланса","","",""
"","133","Запрос без токена - ошибка авторизации","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","121","POST /payments - создание платежа на 1 рубль","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","394","GET /payment-history - формат ответа","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","121","GET /funding-sources - баланс > 0","","2026-06-07","passed","2026-06-07","2. Проверка баланса","","",""
"","115","Баланс содержит все обязательные поля","","2026-06-07","skipped","2026-06-07","2. Проверка баланса","","",""
"","121","История платежей соответствует схеме","","2026-06-07","skipped","2026-06-07","4. Исполнение платежа","","",""
"","126","Создание платежа без токена возвращает ошибку","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","127","GET /person-profile - формат профиля","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","118","GET /payments/{id} - проверка статуса","","2026-06-07","passed","2026-06-07","4. Исполнение платежа","","",""
"","122","Запрос с невалидным токеном - ошибка авторизации","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","124","Создание платежа без суммы возвращает ошибку","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","112","Несуществующий платеж возвращает ошибку","","2026-06-07","passed","2026-06-07","4. Исполнение платежа","","",""
