"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Payments","0","Авторизация","1","0","","0"
"0","Balance","0","Схема ответа","0","1","","0"
"0","Balance","0","Авторизация","1","0","","0"
"0","Health Check","0","Авторизация","2","0","","0"
"0","Payments","0","Создание платежа","1","0","","0"
"0","Payments","0","Негативные сценарии","3","0","","0"
"0","Health Check","0","","2","0","","0"
"0","Payments","0","Исполнение платежа","1","0","","0"
"0","Payments","0","Схема ответа","0","1","","0"
"0","Balance","0","Проверка баланса","1","0","","0"
