"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","Создание платежа без суммы возвращает ошибку","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","671","GET /payment-history - формат ответа","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","192","Баланс недоступен без токена","","2026-06-07","passed","2026-06-07","2. Проверка баланса","","",""
"","195","Создание платежа без токена возвращает ошибку","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","196","Невалидная сумма (-1) возвращает ошибку","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","203","POST /payments - создание платежа на 1 рубль","","2026-06-07","passed","2026-06-07","3. Создание платежа (1 рубль)","","",""
"","193","Несуществующий платеж возвращает ошибку","","2026-06-07","passed","2026-06-07","4. Исполнение платежа","","",""
"","203","Запрос без токена - ошибка авторизации","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","194","GET /payments/{id} - проверка статуса","","2026-06-07","passed","2026-06-07","4. Исполнение платежа","","",""
"","192","История платежей соответствует схеме","","2026-06-07","skipped","2026-06-07","4. Исполнение платежа","","",""
"","200","Баланс содержит все обязательные поля","","2026-06-07","skipped","2026-06-07","2. Проверка баланса","","",""
"","206","Запрос с невалидным токеном - ошибка авторизации","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
"","200","GET /funding-sources - баланс > 0","","2026-06-07","passed","2026-06-07","2. Проверка баланса","","",""
"","204","GET /person-profile - формат профиля","","2026-06-07","passed","2026-06-07","1. Проверка доступности сервиса","","",""
